edge_1based,curl_mode_1,curl_mode_2,curl_mode_3,curl_mode_4,curl_mode_5,curl_mode_6,curl_mode_7,curl_mode_8,curl_mode_9,curl_mode_10,curl_mode_11,curl_mode_12
17,-0.013724087909200974,0.17579568070217885,-0.10232636153500936,0.03459145808041332,-0.080345419670322049,3.1132044244777802e-16,-0.019847822655272192,0.071885060019706432,0.039817279275089212,-0.040949020668512165,-0.088665261365013986,1.0065851505036694e-05
18,-0.015154857863319798,-0.2153187580134921,-0.010126422329456377,-0.050713553657103685,-0.146503130612538,1.7317227312474823e-16,0.00086267420324901908,0.13189857960809812,-0.06630490282346635,-0.024415351156662154,-0.08557053227438452,0.00013949413162400726
19,-0.011703718992836065,-0.12663880655219967,-0.018278187988618421,-0.016221407345374403,-0.0060661192799418631,-6.8930761071529123e-17,0.0069219091478843727,-0.13085497926474207,0.081661006939682909,-0.043146412344497995,0.0043151227650236098,-4.2002844304112052e-05
20,0.0015107783150954401,0.069098691029001374,-0.0063814299890431062,-0.072932085586053491,-0.033772509073340853,2.6089579067859069e-17,-0.00012342605989486277,-0.022181885416139531,-0.10915622335175787,0.11707847729634589,0.06624629426496971,-4.4243528969700741e-05
21,-0.012053839182239956,0.20747111073884639,-0.056609310313557273,0.10633426077786516,-0.14095869962662988,2.7653713679241451e-17,0.022593361598329236,-0.11610244370962522,-0.047619202883178585,-0.019192596352788846,0.022413044458932475,1.0148367431683791e-05
22,0.014218206359102092,0.12630141904213293,0.04108101985291384,-0.049883359616031256,0.048228471504284387,-2.1899119308409839e-16,-0.031586189433868636,0.12009827218180152,0.078118463969711699,0.060420068313080152,-0.034462936371449551,6.3954907234820002e-06
23,0.038000498175929764,0.10294088555378923,-0.11886866814935851,0.042905682917564941,0.15621548013728742,3.1544052591126767e-16,0.018108367696927981,-0.0077054014445861289,0.0063930317239876411,-0.084621860568178969,-0.005180261996687344,7.4894160854710456e-06
24,-0.0088637467408696491,-0.071951818679528518,-0.031917424504463762,0.043960377985212185,0.033400056552377572,5.7992905585483752e-17,-0.016838106669442757,0.040798593150320236,-0.074404089843646243,-0.10890767679833875,0.022745314968055104,-0.00090717919049852769
25,-0.0076912919878894259,-0.060891088931292012,-0.047267731631944865,-0.015710369191380989,-0.080416057630684601,-4.632482086298412e-17,0.060613167090587013,0.006702846200622517,-0.025049571171741822,-0.014936942985282803,0.093475008159511999,-0.00014552034661539925
26,-0.0049900023793947867,-0.15494622203074471,-0.021466607374058172,0.13814328568328738,0.038528996875270317,3.0704094809922287e-16,0.0173359789240164,-0.11619883855567902,0.10088538483673273,0.082662140164542472,-0.022920841830980594,0.00036613577147598386
27,0.0087387655102321715,-0.066014595136910839,0.011912109953683421,0.10315789235554736,0.11776262182650929,-3.8686773475252968e-17,-0.011583765413750648,0.14680439315852434,-0.13912788757514472,-0.064426454096243396,-0.042367749268434507,0.00023584736472170159
