edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
71,0.051246794587817814,-0.056347093383595739,0.055714033055390549,0.0057867686768258543,-0.012603524876618453,0.045538890737690275,-0.041626402902952872,-0.092229052756620911,-0.016452784403119453,0.043944311021387156,-0.0036901352535654332,0.039075117594777359
72,0.03631854793643037,-0.10521956819607949,0.019384610818608188,0.034375874387106667,-0.067215093964901176,-0.028249610434557797,0.049290932455767877,-0.11377805745396986,-0.042837342999952996,0.11412368928466302,0.0039982584768074748,0.0081671186577382121
73,-0.032680326281897064,-0.039945956106079102,-0.030350053492800139,0.057679707886699565,0.0011999330537298403,-0.037049541657077585,0.054323748113812957,-0.10973024015204232,0.052621648151948822,0.067586177217992233,0.0099236212436215089,0.02654162433431341
74,-0.058573971564686647,-0.033366201139090848,0.0460039602062133,0.048444575176259122,0.023274297029402362,-0.015470160866182867,0.037642872570593316,-0.011727992985426814,0.049762557566778325,0.067648036184044247,0.003292671023150253,0.12370134130528247
75,-0.014928246651387533,-0.048872474812483788,-0.036329422236782351,0.028589105710280817,-0.054611569088282685,-0.073788501172248028,0.090917335358720791,-0.021549004697348956,-0.026384558596833502,0.070179378263275888,0.0076883937303729097,-0.030907998937039018
76,-0.083927120869714961,0.016401137277516679,-0.086064086548190616,0.051892939209873735,0.01380345793034831,-0.082588432394767805,0.095950151016765892,-0.017501187395421381,0.069074432555068274,0.023641866196605098,0.013613756497186935,-0.012533493260463931
77,0.066904099845486009,-0.14134741771699097,0.012360697383801836,0.049574601148552291,-0.11749513065475069,-0.038673716332125213,0.033053578435289166,0.071884829102542805,0.018779588463924107,0.0223647165021469,-0.0032531491138255118,-0.059553491156445607
78,0.093617014351174796,-0.14134986301112248,0.1294030345795199,0.023665459970996078,0.16771401731477686,-0.0073693245894883297,0.072498554688335354,0.10310723211202664,0.019876146408054907,0.031658293384380122,-0.0038791550753840328,-0.0090679767738616225
79,-0.068998874218327455,0.065273612090000419,-0.049734664311408272,0.02330383349959295,0.068415027018631003,-0.00879993122251976,0.0050328156580450815,0.0040478173019275338,0.095458991151901762,-0.04653751206667079,0.005925362766814048,0.018374505676575146
80,-0.05621556597929174,0.065184044713910816,0.014688288964694006,0.06529287378091711,0.078315873429480098,0.032772251564219347,-0.050382592924048314,0.056305501197322187,0.097343041955630039,-0.060813026775552205,-0.023906325961728273,-0.081674629069145299
81,0.047615659330227482,0.034870838325505082,0.03571850060282375,0.014916788123774999,0.019617153614883049,0.0040582845052183339,0.021188394531020428,0.065388497157308725,0.043342574745234355,-0.049123177632336833,0.0051579098917704201,0.20430579407182239
